iter	Passed	Remaining
484	2996	3182
485	3001	3174
486	3006	3167
487	3012	3161
488	3017	3153
489	3021	3145
490	3026	3137
491	3033	3131
492	3037	3123
493	3047	3121
494	3051	3113
495	3056	3105
496	3062	3099
497	3067	3092
498	3072	3084
499	3079	3079
500	3084	3072
501	3089	3064
502	3095	3058
503	3100	3051
504	3105	3043
505	3111	3037
506	3115	3029
507	3120	3022
508	3127	3017
509	3132	3009
510	3136	3001
511	3144	2997
512	3149	2989
513	3155	2983
514	3160	2976
515	3164	2968
516	3170	2961
517	3177	2956
518	3181	2948
519	3184	2939
520	3190	2933
521	3195	2926
522	3200	2918
523	3207	2913
524	3211	2906
525	3216	2898
526	3224	2893
527	3228	2886
528	3234	2880
529	3241	2874
530	3245	2866
531	3252	2860
532	3257	2853
533	3261	2846
534	3267	2840
535	3272	2833
536	3277	2825
537	3282	2818
538	3288	2812
539	3293	2805
540	3303	2802
541	3308	2796
542	3317	2791
543	3322	2785
544	3325	2776
545	3331	2770
546	3336	2763
547	3341	2756
548	3346	2749
549	3352	2742
550	3356	2735
551	3364	2730
552	3368	2723
553	3373	2715
554	3380	2710
555	3384	2702
556	3389	2695
557	3395	2689
558	3400	2683
559	3405	2675
560	3412	2670
561	3417	2663
562	3422	2656
563	3430	2651
564	3434	2644
565	3439	2637
566	3445	2631
567	3451	2624
568	3457	2618
569	3463	2612
570	3468	2605
571	3474	2599
572	3479	2592
573	3483	2585
574	3489	2579
575	3494	2572
576	3499	2565
577	3504	2558
578	3511	2553
579	3515	2546
580	3525	2542
581	3530	2535
582	3534	2528
583	3541	2522
584	3546	2515
585	3552	2509
586	3557	2503
587	3562	2496
588	3567	2489
589	3574	2483
590	3579	2476
591	3585	2471
592	3591	2464
593	3595	2457
594	3601	2451
595	3607	2445
596	3611	2438
597	3617	2431
598	3622	2425
599	3627	2418
600	3632	2411
601	3638	2405
602	3642	2398
603	3649	2392
604	3654	2385
605	3659	2379
606	3663	2371
607	3668	2365
608	3674	2358
609	3679	2352
610	3685	2346
611	3689	2339
612	3694	2332
613	3702	2327
614	3708	2321
615	3718	2318
616	3724	2311
617	3731	2306
618	3735	2299
619	3740	2292
620	3747	2287
621	3752	2280
622	3757	2273
623	3763	2268
624	3768	2261
625	3773	2254
626	3779	2248
627	3784	2241
628	3789	2234
629	3796	2229
630	3800	2222
631	3805	2216
632	3813	2210
633	3818	2204
634	3824	2198
635	3829	2191
636	3833	2184
637	3839	2178
638	3844	2172
639	3850	2165
640	3855	2159
641	3861	2153
642	3865	2146
643	3873	2141
644	3879	2134
645	3883	2128
646	3890	2122
647	3894	2115
648	3899	2108
649	3905	2102
650	3910	2096
651	3914	2089
652	3920	2083
653	3925	2076
654	3930	2070
655	3937	2064
656	3941	2057
657	3946	2051
658	3952	2045
659	3957	2038
660	3962	2032
661	3968	2026
662	3973	2019
663	3978	2013
664	3984	2007
665	3988	2000
666	3993	1993
667	4000	1988
668	4004	1981
669	4009	1974
670	4014	1968
671	4020	1962
672	4024	1955
673	4030	1949
674	4036	1943
675	4041	1936
676	4047	1931
677	4052	1924
678	4057	1918
679	4063	1912
680	4068	1905
681	4073	1899
682	4079	1893
683	4084	1886
684	4088	1880
685	4095	1874
686	4101	1868
687	4106	1862
688	4119	1859
689	4127	1854
690	4133	1848
691	4137	1841
692	4143	1835
693	4148	1829
694	4152	1822
695	4159	1816
696	4163	1810
697	4168	1803
698	4175	1798
699	4180	1791
700	4185	1785
701	4191	1779
702	4195	1772
703	4200	1766
704	4206	1760
705	4210	1753
706	4215	1747
707	4220	1740
708	4226	1734
709	4231	1728
710	4238	1722
711	4244	1716
712	4248	1710
713	4256	1704
714	4260	1698
715	4265	1691
716	4274	1687
717	4279	1680
718	4285	1674
719	4290	1668
720	4294	1661
721	4300	1656
722	4305	1649
723	4310	1643
724	4315	1636
725	4322	1631
726	4326	1624
727	4333	1619
728	4339	1613
729	4344	1606
730	4350	1601
731	4355	1594
732	4360	1588
733	4368	1583
734	4373	1576
735	4377	1570
736	4384	1564
737	4389	1558
738	4393	1551
739	4399	1545
740	4404	1539
741	4408	1532
742	4416	1527
743	4420	1521
744	4425	1514
745	4432	1509
746	4437	1502
747	4443	1496
748	4448	1490
749	4452	1484
750	4460	1478
751	4465	1472
752	4469	1466
753	4476	1460
754	4480	1454
755	4485	1447
756	4491	1441
757	4496	1435
758	4500	1429
759	4508	1423
760	4514	1417
761	4525	1413
762	4530	1407
763	4536	1401
764	4542	1395
765	4547	1389
766	4552	1383
767	4557	1376
768	4562	1370
769	4567	1364
770	4573	1358
771	4578	1352
772	4584	1346
773	4590	1340
774	4595	1334
775	4601	1328
776	4606	1321
777	4610	1315
778	4616	1309
779	4621	1303
780	4626	1297
781	4631	1291
782	4638	1285
783	4643	1279
784	4651	1273
785	4656	1267
786	4661	1261
787	4667	1255
788	4672	1249
789	4676	1243
790	4683	1237
791	4687	1231
792	4692	1224
793	4700	1219
794	4705	1213
795	4709	1207
796	4718	1201
797	4722	1195
798	4729	1189
799	4733	1183
800	4738	1177
801	4744	1171
802	4750	1165
803	4755	1159
804	4761	1153
805	4766	1147
806	4770	1140
807	4776	1135
808	4781	1128
809	4786	1122
810	4791	1116
811	4797	1110
812	4802	1104
813	4809	1098
814	4814	1092
815	4819	1086
816	4825	1080
817	4830	1074
818	4835	1068
819	4842	1063
820	4847	1056
821	4852	1050
822	4859	1045
823	4863	1038
824	4868	1032
825	4874	1026
826	4879	1020
827	4883	1014
828	4891	1008
829	4895	1002
830	4900	996
831	4908	991
832	4914	985
833	4923	980
834	4930	974
835	4938	968
836	4943	962
837	4947	956
838	4954	950
839	4959	944
840	4964	938
841	4970	932
842	4975	926
843	4979	920
844	4987	914
845	4991	908
846	4996	902
847	5005	897
848	5009	891
849	5015	885
850	5020	879
851	5025	872
852	5031	867
853	5036	861
854	5041	854
855	5046	848
856	5052	843
857	5056	836
858	5066	831
859	5071	825
860	5076	819
861	5082	813
862	5087	807
863	5092	801
864	5098	795
865	5102	789
866	5107	783
867	5115	777
868	5119	771
869	5124	765
870	5132	760
871	5137	754
872	5143	748
873	5148	742
874	5153	736
875	5160	730
876	5165	724
877	5169	718
878	5176	712
879	5181	706
880	5186	700
881	5194	694
882	5198	688
883	5203	682
884	5210	677
885	5214	670
886	5219	664
887	5225	659
888	5230	653
889	5234	646
890	5241	641
891	5246	635
892	5251	629
893	5259	623
894	5264	617
895	5271	611
896	5276	605
897	5281	599
898	5287	594
899	5292	588
900	5296	582
901	5302	576
902	5308	570
903	5312	564
904	5323	558
905	5329	552
906	5336	547
907	5342	541
908	5347	535
909	5353	529
910	5358	523
911	5363	517
912	5370	511
913	5375	505
914	5382	499
915	5388	494
916	5393	488
917	5399	482
918	5404	476
919	5409	470
920	5417	464
921	5431	459
922	5438	453
923	5447	448
924	5454	442
925	5470	437
926	5481	431
927	5486	425
928	5503	420
929	5512	414
930	5518	409
931	5523	403
932	5530	397
933	5537	391
934	5546	385
935	5551	379
936	5559	373
937	5565	367
938	5569	361
939	5579	356
940	5583	350
941	5590	344
942	5595	338
943	5600	332
944	5608	326
945	5613	320
946	5618	314
947	5628	308
948	5633	302
949	5642	296
950	5649	291
951	5658	285
952	5663	279
953	5671	273
954	5678	267
955	5689	261
956	5694	255
957	5699	249
958	5705	243
959	5711	237
960	5727	232
961	5748	227
962	5754	221
963	5767	215
964	5772	209
965	5785	203
966	5796	197
967	5801	191
968	5811	185
969	5816	179
970	5823	173
971	5831	167
972	5836	161
973	5846	156
974	5852	150
975	5861	144
976	5866	138
977	5874	132
978	5879	126
979	5884	120
980	5893	114
981	5899	108
982	5909	102
983	5913	96
984	5921	90
985	5926	84
986	5931	78
987	5941	72
988	5947	66
989	5955	60
990	5960	54
991	5967	48
992	5974	42
993	5979	36
994	5987	30
995	5992	24
996	5996	18
997	6003	12
998	6007	6
999	6013	0
