iter	Logloss
121	0.3502446389
122	0.3491942218
123	0.3481554304
124	0.3475002367
125	0.3468499735
126	0.3461600583
127	0.3453534185
128	0.3446665394
129	0.3439142136
130	0.3429268818
131	0.3423144023
132	0.3418312851
133	0.3407559038
134	0.3401339005
135	0.3392096798
136	0.3386614015
137	0.337817471
138	0.3373393623
139	0.3366529504
140	0.3357969012
141	0.3351176255
142	0.3343772629
143	0.333895054
144	0.3333111718
145	0.3324726131
146	0.3318922082
147	0.3313653128
148	0.3309319684
149	0.33038055
150	0.3299012217
151	0.3292511402
152	0.3287250233
153	0.3282694654
154	0.3278739566
155	0.3272694957
156	0.326593957
157	0.3259664523
158	0.3254305003
159	0.3251035262
160	0.3244023745
161	0.3238171169
162	0.3232442376
163	0.3227790262
164	0.3224341983
165	0.3217299585
166	0.3213362661
167	0.3208798
168	0.3203199218
169	0.3196884467
170	0.3192576194
171	0.3189224451
172	0.318236111
173	0.317985898
174	0.3175108254
175	0.3168603547
176	0.3161783024
177	0.3157276231
178	0.3154872972
179	0.3151954339
180	0.3148742209
181	0.3145463645
182	0.3139738485
183	0.3134936378
184	0.313075137
185	0.3127111837
186	0.312215325
187	0.3118194269
188	0.3113615594
189	0.310863936
190	0.3102530655
191	0.3097768252
192	0.3092534591
193	0.3087261226
194	0.3084293807
195	0.3080859282
196	0.3076350413
197	0.3072056154
198	0.3068400532
199	0.3062842492
200	0.3059348801
201	0.3053668794
202	0.3048265418
203	0.3043070683
204	0.3036905665
205	0.3030713399
206	0.3025925305
207	0.3023571611
208	0.3020669327
209	0.3014968042
210	0.3010129085
211	0.3004561444
212	0.3002432479
213	0.2996717181
214	0.2993474428
215	0.2989368309
216	0.2987615884
217	0.2986914706
218	0.2984719309
219	0.2980384048
220	0.2977632017
221	0.2974736739
222	0.2972015848
223	0.2967810079
224	0.2965532679
225	0.2962350391
226	0.2956824789
227	0.2951873468
228	0.2947791482
229	0.2944412231
230	0.2941751026
231	0.2940165461
232	0.2938014958
233	0.2933215706
234	0.2928202623
235	0.2924187589
236	0.2919185664
237	0.2914301554
238	0.2910535125
239	0.2905151471
240	0.2900628849
241	0.2897510399
242	0.2894455527
243	0.2891800031
244	0.2889369523
245	0.288597574
246	0.2881661759
247	0.2878556024
248	0.2875911427
249	0.2873955292
250	0.2871613535
251	0.2868834515
252	0.286424027
253	0.2859530027
254	0.2855680297
255	0.2854104074
256	0.2852343086
257	0.2849251883
258	0.2845130713
259	0.2841189637
260	0.2834783541
261	0.2829836372
262	0.2826820425
263	0.2824939546
264	0.2820995616
265	0.2817125126
266	0.2812880432
267	0.2810638843
268	0.2808729937
269	0.2805216004
270	0.2801179432
271	0.2798677561
272	0.2796383293
273	0.2792014557
274	0.2790008078
275	0.2788064139
276	0.2785637265
277	0.2782403336
278	0.2779889269
279	0.2778135027
280	0.2775514564
281	0.2773530402
282	0.2771856606
283	0.2769877116
284	0.2766893348
285	0.2764247453
286	0.2760047653
287	0.2756623508
288	0.2754988638
289	0.2754184437
290	0.2751204562
291	0.2747200427
292	0.274444632
293	0.2742375484
294	0.273837654
295	0.2735069431
296	0.2732716515
297	0.2729942426
298	0.2726516464
299	0.2723850588
300	0.2719182644
301	0.2716323178
302	0.2712523272
303	0.2710351749
304	0.2708508758
305	0.2705985348
306	0.2702621408
307	0.2701026242
308	0.2698973052
309	0.2693791292
310	0.2690489892
311	0.2687184859
312	0.2683390144
313	0.2682328516
314	0.2678376801
315	0.2676165315
316	0.2672321294
317	0.2668024699
318	0.2666045727
319	0.2661568259
320	0.2659502613
321	0.265906042
322	0.2655509637
323	0.2653710502
324	0.2650312566
325	0.2648709875
326	0.2644709633
327	0.264296084
328	0.2640926595
329	0.2638936464
330	0.2634960356
331	0.2633565267
332	0.2631839311
333	0.2628215608
334	0.2626085865
335	0.2624254032
336	0.2622454896
337	0.2621061624
338	0.2618236412
339	0.2616539001
340	0.2614036871
341	0.2608847586
342	0.2607299908
343	0.2604646488
344	0.2603676465
345	0.2602072735
346	0.2599697243
347	0.2597316041
348	0.2595648474
349	0.2592823522
350	0.2591112098
351	0.2588769303
352	0.258615351
353	0.2584739218
354	0.2583048555
355	0.2579208685
356	0.2576053126
357	0.2574538925
358	0.2571606539
359	0.2570210671
360	0.2567185382
361	0.2566654439
362	0.2564295036
363	0.2562577124
364	0.2561813147
365	0.2559073052
366	0.2556522914
367	0.2554176486
368	0.2552763232
369	0.254938424
370	0.2547109176
371	0.2544092451
372	0.254221754
373	0.254044669
374	0.2538900829
375	0.2536833367
376	0.2532163867
377	0.2530145451
378	0.2526084744
379	0.2524852623
380	0.2523461686
381	0.2520128107
382	0.2518458204
383	0.2516437972
384	0.2513934025
385	0.2512420343
386	0.2511662074
387	0.251074499
388	0.2507398437
389	0.2504732041
390	0.2503034631
391	0.2501366544
392	0.2500236926
393	0.249788972
394	0.2494592991
395	0.2492733391
396	0.2487485198
397	0.2485725766
398	0.2483320431
399	0.2480709309
400	0.2478195502
401	0.2475784457
402	0.2474431148
403	0.2472900079
404	0.2471535611
405	0.2469837163
406	0.2467355793
407	0.2465942798
408	0.2463918673
409	0.2461408758
410	0.2459225817
411	0.2455626767
412	0.2453287086
413	0.2450143723
414	0.2447422573
415	0.2443639535
416	0.2442497461
417	0.2439308945
418	0.2438925918
419	0.2437201519
420	0.2436608555
421	0.2435384997
422	0.2434553289
423	0.2434006256
424	0.2430929586
425	0.2429246448
426	0.2427830858
427	0.2426424351
428	0.2424978139
429	0.2422160454
430	0.2419427885
431	0.2416711924
432	0.2413644077
433	0.2411284155
434	0.2409506039
435	0.2407918917
436	0.2404075674
437	0.2401297952
438	0.239846262
439	0.2395403077
440	0.2392467058
441	0.2388965321
442	0.2385684422
443	0.2383376141
444	0.2381142597
445	0.2379447262
446	0.2377407048
447	0.2376049327
448	0.2373365804
449	0.2371227238
450	0.2369336498
451	0.236795127
452	0.2365866681
453	0.2363695936
454	0.2361634443
455	0.2359161896
456	0.2356726199
457	0.2353135453
458	0.2350796031
459	0.2350117171
460	0.2349023365
461	0.234792878
462	0.2346959017
463	0.2344742859
464	0.2343519561
465	0.2339923885
466	0.2338529833
467	0.2336689956
468	0.2334876028
469	0.2331879285
470	0.2329516768
471	0.2326806257
472	0.2324846748
473	0.2324279993
474	0.2323406505
475	0.2320963542
476	0.2319644487
477	0.2316445331
478	0.2315397198
479	0.2313465715
480	0.2312067252
481	0.2309233737
482	0.2308393206
483	0.2305708386
484	0.2302027073
485	0.2300431128
486	0.2299488613
487	0.2297031117
488	0.2296305287
489	0.2293006222
490	0.2291119634
491	0.2288051268
492	0.2286675641
493	0.2285632698
494	0.2282879109
495	0.2281994982
496	0.228051763
497	0.2278293168
498	0.227728967
499	0.227607234
500	0.2274072089
501	0.2270725017
502	0.226905719
503	0.226790759
504	0.2266551945
505	0.2263923437
506	0.2260897889
507	0.2259770607
508	0.2258006764
509	0.2256684076
510	0.2254361003
511	0.2251454567
512	0.224978155
513	0.2247214285
514	0.2245425789
515	0.2244285791
516	0.2242453439
517	0.2240143341
518	0.2238589436
519	0.2238449564
520	0.2236753451
521	0.2235506278
522	0.2233778246
523	0.2232199429
524	0.2229642803
525	0.2228449088
526	0.2226628414
527	0.2224422896
528	0.2223889098
529	0.2222594696
530	0.2220657245
531	0.2218960094
532	0.2217841375
533	0.2217159401
534	0.2215262692
535	0.2212175123
536	0.2210227292
537	0.2206931082
538	0.2204199032
539	0.220150487
540	0.2200083311
541	0.2197650728
542	0.2195336738
543	0.2193831619
544	0.219370031
545	0.2191025611
546	0.2189494801
547	0.2187758465
548	0.2185795842
549	0.2182284504
550	0.2181108955
551	0.2179869048
552	0.2177891115
553	0.2176580105
554	0.2174909293
555	0.2171875571
556	0.2169205413
557	0.2167828229
558	0.2166399015
559	0.2164726647
560	0.2163120192
561	0.2160904034
562	0.2159215058
563	0.215776703
564	0.2156305767
565	0.2154316805
566	0.2152722547
567	0.214994716
568	0.2147843886
569	0.2146896051
570	0.2144569086
571	0.2142727521
572	0.2141168036
573	0.2137686282
574	0.2136500222
575	0.2135389808
576	0.2133204142
577	0.2130455873
578	0.2128889642
579	0.2126552945
580	0.212435664
581	0.2122357557
582	0.212121172
583	0.2119829866
584	0.211903332
585	0.2117397672
586	0.2116130388
587	0.2113837936
588	0.2112563776
589	0.2111314657
590	0.210942742
591	0.2107584687
592	0.2105667607
593	0.2104724962
594	0.2102022495
595	0.2099444071
596	0.209676522
597	0.2095055094
598	0.2091992437
599	0.2090322923
600	0.2089832462
601	0.2089161776
602	0.208768131
603	0.2085827419
604	0.2083004802
605	0.2081394325
606	0.2081363315
607	0.2079619323
608	0.2077790085
609	0.2075898826
610	0.207437671
611	0.2071308473
612	0.2069507002
613	0.2067965553
614	0.206610751
615	0.2064765619
616	0.2062833358
617	0.206076901
618	0.2058029175
619	0.2056472675
620	0.2054889575
621	0.2052578959
622	0.2049419377
623	0.204720296
624	0.2045489979
625	0.2043879373
626	0.2041536837
627	0.2040489871
628	0.2038555016
629	0.2036418785
630	0.203336054
631	0.203232097
632	0.2030598128
633	0.2028836361
634	0.2027776809
635	0.2025846235
636	0.2024618395
637	0.2021891665
638	0.202065656
639	0.2018582999
640	0.2016204782
641	0.2014903892
642	0.2012937377
643	0.2011497653
644	0.2009682688
645	0.2008265541
646	0.2007094662
647	0.2005099601
648	0.2002865798
649	0.2001251039
650	0.1999971039
651	0.1997689747
652	0.1995203965
653	0.199392176
654	0.1992092262
655	0.1989749597
656	0.198786236
657	0.1986704846
658	0.1984312615
659	0.198255007
660	0.1981240487
661	0.1980216876
662	0.1978421633
663	0.197662107
664	0.1974820766
665	0.1973664939
666	0.1971657163
667	0.1969390662
668	0.1967048256
669	0.1965700007
670	0.1963162844
671	0.1961162593
672	0.1958345296
673	0.1956944368
674	0.1955823963
675	0.1953197401
676	0.1952189102
677	0.1949908717
678	0.1947821792
679	0.1945580723
680	0.1942553488
681	0.1941384166
682	0.1938476303
683	0.193716685
684	0.1935759045
685	0.1934238096
686	0.1931990799
687	0.1928781003
688	0.192738306
689	0.19246405
690	0.1923119941
691	0.1922471961
692	0.1921773119
693	0.1920249057
694	0.1918871873
695	0.1916698015
696	0.191602123
697	0.1914675836
698	0.1913762774
699	0.1912770952
700	0.191016061
701	0.1908572709
702	0.1907478384
703	0.1905827425
704	0.1904120283
705	0.190264877
706	0.1899700165
707	0.1898378904
708	0.1897330252
709	0.189503287
710	0.1892577191
711	0.1890114635
712	0.1888671538
713	0.1887593691
714	0.1885251156
715	0.1883381305
716	0.1881755258
717	0.1879616043
718	0.1877177881
719	0.1876140776
720	0.1874718439
721	0.1872723119
722	0.1870992492
723	0.1867580025
724	0.1865855755
725	0.186357044
726	0.1860846046
727	0.1858766257
728	0.1856962451
729	0.1853485886
730	0.1852277639
731	0.1850673779
732	0.1848371597
733	0.1846639283
734	0.1844695993
735	0.1842904902
736	0.1840307145
737	0.1837590276
738	0.1835831882
739	0.1833676708
740	0.1832652449
741	0.1830648305
742	0.1829383487
743	0.1827926376
744	0.1826388301
745	0.1825103371
746	0.1823315264
747	0.182062188
748	0.181784299
749	0.18166049
750	0.1815326717
751	0.1813227595
752	0.1809869624
753	0.1807453908
754	0.1806154575
755	0.1804226986
756	0.1802209478
757	0.1800808031
758	0.179949741
759	0.1798219746
760	0.1795761212
761	0.1794768223
762	0.1792741633
763	0.1791027355
764	0.1788901245
765	0.1787742693
766	0.1786849742
767	0.1785302584
768	0.1783883491
769	0.1782441691
770	0.1779986141
771	0.177881682
772	0.177645599
773	0.1774654648
774	0.1772028865
775	0.1771405538
776	0.1770035361
777	0.1767458494
778	0.1766259589
779	0.1764964798
780	0.1762125962
781	0.1761449827
782	0.1760299319
783	0.1758791606
784	0.1756881662
785	0.1755216689
786	0.1753273789
787	0.1750779963
788	0.1748839009
789	0.1747904797
790	0.1746028199
791	0.1744031322
792	0.1742870435
793	0.1740488584
794	0.1738956218
795	0.1736336014
796	0.1735119982
797	0.1733284516
798	0.1732283871
799	0.1731063428
800	0.1729329946
801	0.1728169837
802	0.1725574935
803	0.1724623077
804	0.1723479706
805	0.1722272756
806	0.1720663317
807	0.1719174547
808	0.1717435746
809	0.1716108776
810	0.1714409679
811	0.1711868753
812	0.1710276831
813	0.1708912882
814	0.1706376497
815	0.1705379097
816	0.1703908362
817	0.1702157883
818	0.1700358488
819	0.1698533921
820	0.1696332685
821	0.1693985349
822	0.1691813566
823	0.1690856908
824	0.1688593391
825	0.1687039745
826	0.1685784398
827	0.1684753262
828	0.1682020434
829	0.1680986314
830	0.1679036536
831	0.1677506635
832	0.1676208989
833	0.1674024361
834	0.1672279462
835	0.1671126748
836	0.1669651213
837	0.1667773059
838	0.1666577138
839	0.1665222661
840	0.1663287416
841	0.1661554194
842	0.1659489327
843	0.1657565759
844	0.1656325593
845	0.1654710056
846	0.1654189622
847	0.1652298882
848	0.1650445121
849	0.1648280734
850	0.1645865667
851	0.1644408427
852	0.1643583596
853	0.164163823
854	0.1640248201
855	0.1637985204
856	0.1636227978
857	0.1635184775
858	0.1633525381
859	0.1630797094
860	0.1629946183
861	0.162915379
862	0.1627737422
863	0.1625886645
864	0.1623509984
865	0.1622561241
866	0.1620588238
867	0.1619534655
868	0.1618994628
869	0.1617793777
870	0.1616109082
871	0.1615662607
872	0.1614705949
873	0.1613049799
874	0.161183234
875	0.1609983769
876	0.160828
877	0.1607338133
878	0.1605833793
879	0.1605014282
880	0.1603679527
881	0.1602114463
882	0.1600575609
883	0.1599146525
884	0.1597411097
885	0.1595836302
886	0.1594367254
887	0.1593825022
888	0.159241086
889	0.1590827501
890	0.1589341196
891	0.1586690111
892	0.1584950402
893	0.1583364188
894	0.1582001148
895	0.1581290628
896	0.1579764489
897	0.1578136236
898	0.1576316211
899	0.1574641636
900	0.1573685108
901	0.1573008064
902	0.1571020269
903	0.1569720936
904	0.1569051418
905	0.1567464297
906	0.156535207
907	0.1564222453
908	0.1562491436
909	0.1561009933
910	0.1559732139
911	0.1558017341
912	0.155707794
913	0.1555460197
914	0.1554000491
915	0.1552814172
916	0.1551647186
917	0.1550615661
918	0.1549205391
919	0.1547742701
920	0.1546030888
921	0.154479721
922	0.1543984705
923	0.1542642035
924	0.1541329468
925	0.1539110716
926	0.1537751438
927	0.1536880026
928	0.1535496095
929	0.1533945304
930	0.1532785974
931	0.1530556322
932	0.1529361699
933	0.1527877081
934	0.1526436838
935	0.1525696735
936	0.1525063807
937	0.1523467343
938	0.152170856
939	0.1520443482
940	0.1519236402
941	0.1516896202
942	0.1514833282
943	0.151337137
944	0.1511034025
945	0.1509480249
946	0.1507598462
947	0.1507016656
948	0.1505281617
949	0.1503180549
950	0.1501197036
951	0.149946615
952	0.1498284243
953	0.1496743961
954	0.1496023451
955	0.149464471
956	0.1493247415
957	0.1491469039
958	0.1489591274
959	0.1487692619
960	0.1485960694
961	0.148484003
962	0.1483353206
963	0.1482657867
964	0.1482134968
965	0.1480836933
966	0.1479682663
967	0.1479494912
968	0.1477868216
969	0.147650816
970	0.1475940626
971	0.1475162117
972	0.1473625858
973	0.147212541
974	0.1469843988
975	0.1467412053
976	0.1465816109
977	0.1464142313
978	0.1462085231
979	0.1460606062
980	0.1458451667
981	0.1456813423
982	0.1455136643
983	0.1453526166
984	0.1452114598
985	0.1451179349
986	0.1449382548
987	0.1447605211
988	0.1445891452
989	0.1444566169
990	0.1442958287
991	0.1442061054
992	0.14409871
993	0.1439865787
994	0.1438603563
995	0.1437441638
996	0.1435590861
997	0.1434533255
998	0.1433542732
999	0.1432908506
